Title,Views,Upload_data,Video_link,Thumbnail_link
Age is Just a Number: The Story of a 14-Year-Old CEO | CodeCast | GeeksforGeeks,8K views,2 days ago,/watch?v=TASew4CmC9w,https://i.ytimg.com/vi/TASew4CmC9w/hqdefault.jpg
How to Use GPT 4 | How it's better from GPT 3 | GeeksforGeeks,3.2K views,3 days ago,/watch?v=Mnx3TAgbX7o,https://i.ytimg.com/vi/Mnx3TAgbX7o/hqdefault.jpg
Master DSA Today and be the Masters of Tomorrow,19K views,8 days ago,/watch?v=PsOXP5hg52w,https://i.ytimg.com/vi/PsOXP5hg52w/hqdefault.jpg
How to avoid getting Laid Off | ft. Dr. Sneha Sharma,818 views,9 days ago,/watch?v=s4frRcj17AM,https://i.ytimg.com/vi/s4frRcj17AM/hqdefault.jpg
Psychology of Deciding Your Career ft. Dhairya Gangwani | GeeksforGeeks,687 views,10 days ago,/watch?v=0oPyv39ynTo,https://i.ytimg.com/vi/0oPyv39ynTo/hqdefault.jpg
CodeCast Ep. 3 | Learn all About Competitive Programming | @PriyanshAgarwal  with Mr. Sandeep Jain,4.8K views,2 weeks ago,/watch?v=5uAFQqdS9oA,https://i.ytimg.com/vi/5uAFQqdS9oA/hqdefault.jpg
Advice for Women in Tech | ft. @PriyaVajpeyi,1.3K views,2 weeks ago,/watch?v=tn5BHjwAvTc,https://i.ytimg.com/vi/tn5BHjwAvTc/hqdefault.jpg
Roadmap to Amazon | Twinkle Bajaj - SDE at Amazon,1.5K views,2 weeks ago,/watch?v=nRbR9A_8nMQ,https://i.ytimg.com/vi/nRbR9A_8nMQ/hqdefault.jpg
Google Cloud X AMD and GeeksforGeeks Goes to Colleges With Some Fun Twist!,1.3K views,3 weeks ago,/watch?v=RQuaGniMRUU,https://i.ytimg.com/vi/RQuaGniMRUU/hqdefault.jpg
Solving For India Hackathon | @googlecloud X AMD | GeeksforGeeks,1.8K views,1 month ago,/watch?v=p0FQuaFLh0A,https://i.ytimg.com/vi/p0FQuaFLh0A/hqdefault.jpg
